ENSMUSG00000001151	ENSMUST00000217838
ENSMUSG00000001151	ENSMUST00000219011
ENSMUSG00000001155	ENSMUST00000001183
ENSMUSG00000001155	ENSMUST00000137347
ENSMUSG00000001156	ENSMUST00000001184
ENSMUSG00000001157	ENSMUST00000001185
ENSMUSG00000001157	ENSMUST00000113679
ENSMUSG00000001157	ENSMUST00000203741
ENSMUSG00000001158	ENSMUST00000001186
ENSMUSG00000001166	ENSMUST00000117193
ENSMUSG00000001173	ENSMUST00000001202
ENSMUSG00000001175	ENSMUST00000110082
ENSMUSG00000001211	ENSMUST00000001240
ENSMUSG00000001227	ENSMUST00000167545
ENSMUSG00000001229	ENSMUST00000038794
ENSMUSG00000001229	ENSMUST00000223616
ENSMUSG00000001240	ENSMUST00000122006
ENSMUSG00000001240	ENSMUST00000129680
ENSMUSG00000001247	ENSMUST00000001279
ENSMUSG00000001248	ENSMUST00000188032
ENSMUSG00000001249	ENSMUST00000039435
ENSMUSG00000001249	ENSMUST00000164340
ENSMUSG00000001249	ENSMUST00000165124
ENSMUSG00000001249	ENSMUST00000171225
ENSMUSG00000001270	ENSMUST00000222705
ENSMUSG00000001280	ENSMUST00000001326
ENSMUSG00000001285	ENSMUST00000113682
ENSMUSG00000001285	ENSMUST00000170713
ENSMUSG00000001288	ENSMUST00000043172
ENSMUSG00000001289	ENSMUST00000165671
ENSMUSG00000001289	ENSMUST00000166658
ENSMUSG00000001300	ENSMUST00000001319
ENSMUSG00000001300	ENSMUST00000209169
ENSMUSG00000001305	ENSMUST00000001339
ENSMUSG00000001305	ENSMUST00000162336
ENSMUSG00000001313	ENSMUST00000153185
ENSMUSG00000001323	ENSMUST00000065211
ENSMUSG00000001348	ENSMUST00000165735
ENSMUSG00000001366	ENSMUST00000085311
ENSMUSG00000001376	ENSMUST00000184461
ENSMUSG00000001376	ENSMUST00000184780
ENSMUSG00000001380	ENSMUST00000001416
ENSMUSG00000001383	ENSMUST00000001419
ENSMUSG00000001415	ENSMUST00000001451
ENSMUSG00000001416	ENSMUST00000167000
ENSMUSG00000001416	ENSMUST00000193666
ENSMUSG00000001418	ENSMUST00000193646
ENSMUSG00000001419	ENSMUST00000001455
ENSMUSG00000001419	ENSMUST00000119251
ENSMUSG00000001420	ENSMUST00000001456
ENSMUSG00000001420	ENSMUST00000193872
ENSMUSG00000001424	ENSMUST00000001460
ENSMUSG00000001424	ENSMUST00000165151
ENSMUSG00000001424	ENSMUST00000167201
ENSMUSG00000001424	ENSMUST00000171195
ENSMUSG00000001424	ENSMUST00000183161
ENSMUSG00000001435	ENSMUST00000081654
ENSMUSG00000001435	ENSMUST00000105409
ENSMUSG00000001436	ENSMUST00000105410
ENSMUSG00000001436	ENSMUST00000131031
ENSMUSG00000001436	ENSMUST00000136925
ENSMUSG00000001440	ENSMUST00000001479
ENSMUSG00000001441	ENSMUST00000001480
ENSMUSG00000001445	ENSMUST00000001485
ENSMUSG00000001467	ENSMUST00000001507
ENSMUSG00000001472	ENSMUST00000212571
ENSMUSG00000001473	ENSMUST00000001513
ENSMUSG00000001482	ENSMUST00000001522
ENSMUSG00000001482	ENSMUST00000108830
ENSMUSG00000001482	ENSMUST00000108832
ENSMUSG00000001482	ENSMUST00000212391
